Source ; Target
tigre ; avestruz
avestruz ; kiwi
kiwi ; golondrina
golondrina ; aguila
aguila ; caballo
caballo ; potro
potro ; vaca
vaca ; cerdo
cerdo ; oveja
oveja ; tiburon
tiburon ; pezpayaso
pezpayaso ; gallina
gallina ; gallo
gallo ; mono
mono ; perezoso
perezoso ; topo
topo ; guepardo
guepardo ; marmota
conejo ; perro
perro ; raton
raton ; delfin
delfin ; nutria
nutria ; marmota
marmota ; gato
gato ; pajaro
pajaro ; tortuga
tortuga ; ballena
ballena ; halcon
halcon ; buho
buho ; leon
leon ; pantera
pantera ; elefante
elefante ; jirafa
jirafa ; buitre
buitre ; oso
oso ; lemur
lemur ; hamster
hamster ; cerdo
cerdo ; vaca
vaca ; toro
toro ; mariposa
mariposa ; mariquita
cebra ; vaca
vaca ; rana
rana ; tigre
tigre ; leon
leon ; elefante
elefante ; cerdo
cerdo ; marrano
marrano ; puerco
puerco ; rinoceronte
rinoceronte ; jabali
jabali ; tiburon
tiburon ; delfin
delfin ; ballena
ballena ; bacalao
bacalao ; sepia
sepia ; cocodrilo
cocodrilo ; mono
mono ; mandril
mandril ; orangutan
orangutan ; gorila
leon ; gato
gato ; perro
perro ; caballo
caballo ; burro
cebra ; caballo
caballo ; cerdo
cerdo ; elefante
elefante ; canguro
canguro ; koala
koala ; pez
pez ; anguila
anguila ; serpiente
serpiente ; perro
perro ; gato
gato ; hamster
hamster ; iguana
iguana ; lagartija
lagartija ; vaca
vaca ; oveja
oveja ; potro
potro ; becerro
becerro ; oso
oso ; pinguino
pinguino ; tigre
tigre ; mono
mono ; orangutan
orangutan ; gorila
koala ; oso
oso ; perro
perro ; gato
gato ; vaca
vaca ; toro
toro ; gallina
gallina ; gallo
gallo ; pato
pato ; pajaro
perro ; gato
gato ; tiburon
tiburon ; hamster
hamster ; tigre
tigre ; leon
leon ; anaconda
anaconda ; cangrejo
cangrejo ; serpiente
serpiente ; caballo
caballo ; caballitodemar
caballitodemar ; pez
pez ; aguila
aguila ; pajaro
pajaro ; raton
raton ; sapo
sapo ; rana
rana ; ruisenor
ruisenor ; marmota
marmota ; murcielago
murcielago ; esponjamarina
esponjamarina ; salmonete
salmonete ; cabra
cabra ; toro
toro ; oveja
oveja ; elefante
elefante ; vaca
vaca ; cebra
perro ; gato
gato ; pajaro
pajaro ; pez
pez ; delfin
delfin ; tiburon
tiburon ; tucan
tucan ; cacatua
cacatua ; caballo
caballo ; cocodrilo
cocodrilo ; mantarraya
mantarraya ; pezmanta
pezmanta ; camaleon
camaleon ; halcon
halcon ; avestruz
avestruz ; aguila
aguila ; pezpayaso
pezpayaso ; pezcirujano
pezcirujano ; morena
vaca ; cerdo
cerdo ; perro
perro ; gato
gato ; toro
toro ; abeja
abeja ; mosquito
mosquito ; koala
koala ; hipopotamo
hipopotamo ; elefante
elefante ; jirafa
jirafa ; insecto
insecto ; avispa
avispa ; oveja
oveja ; pollo
pollo ; conejo
conejo ; gallina
gallina ; pez
pez ; ballena
ballena ; medusa
medusa ; coquina
coquina ; delfin
delfin ; mamut
gato ; perro
perro ; mosca
mosca ; mosquito
mosquito ; gusano
gusano ; serpiente
serpiente ; oruga
oruga ; cerdo
cerdo ; toro
toro ; mamut
mamut ; orca
orca ; ballena
ballena ; pez
pez ; pollo
pollo ; conejo
conejo ; guepardo
guepardo ; orangutan
orangutan ; mono
mono ; loro
loro ; pajaro
pajaro ; ardilla
ardilla ; zorro
zorro ; hamster
hamster ; rata
rata ; raton
raton ; garrapata
garrapata ; pelicano
pelicano ; medusa
medusa ; estrellademar
perro ; gato
gato ; camaleon
camaleon ; hamster
hamster ; conejo
conejo ; cabra
cabra ; oveja
oveja ; vaca
vaca ; cerdo
cerdo ; jabali
jabali ; nu
nu ; elefante
elefante ; hipopotamo
hipopotamo ; caballo
caballo ; delfin
delfin ; avestruz
avestruz ; rana
rana ; cocodrilo
cocodrilo ; salamandra
salamandra ; salamanquesa
salamanquesa ; serpiente
serpiente ; mosquito
mosquito ; arana
arana ; cebra
cebra ; girafa
girafa ; mono
mono ; gorila
gorila ; chimpance
chimpance ; rata
rata ; raton
raton ; roedor
roedor ; omnivoro
cerdo ; vaca
vaca ; oveja
oveja ; perro
perro ; gato
gato ; arana
arana ; insecto
insecto ; mosca
mosca ; ciempies
ciempies ; mariposa
mariposa ; serpiente
serpiente ; lagartija
lagartija ; cocodrilo
cocodrilo ; oso
oso ; conejo
conejo ; pajaro
pajaro ; ruisenor
perro ; gato
gato ; buho
buho ; gallo
gallo ; gallina
gallina ; caballo
caballo ; elefante
elefante ; cebra
cebra ; tigre
tigre ; leon
leon ; mono
mono ; gorila
gorila ; salamandra
salamandra ; abeja
abeja ; mariposa
mariposa ; ciempies
ciempies ; arana
arana ; rinoceronte
rinoceronte ; leopardo
leopardo ; guepardo
guepardo ; loro
loro ; pajaro
pajaro ; cacatua
perro ; vaca
vaca ; caballo
cebra ; vaca
vaca ; caballo
caballo ; cabra
cabra ; oveja
oveja ; cabra
cabra ; burro
burro ; perro
perro ; gato
gato ; aguila
aguila ; conejo
conejo ; liebre
liebre ; rinoceronte
rinoceronte ; hipopotamo
hipopotamo ; cocodrilo
cocodrilo ; tiburon
tiburon ; pez
pez ; mono
mono ; orangutan
orangutan ; gorila
gorila ; jabali
jabali ; mandril
mandril ; loro
loro ; delfin
delfin ; avestruz
avestruz ; paloma
ballena ; pezespada
pezespada ; pezmartillo
pezmartillo ; delfin
delfin ; serpiente
serpiente ; leopardo
leopardo ; lagartija
lagartija ; salamanquesa
salamanquesa ; pajaro
pajaro ; cuervo
cuervo ; ciguena
ciguena ; leon
leon ; rata
rata ; raton
raton ; gato
rana ; perro
perro ; gato
gato ; mosca
mosca ; abeja
abeja ; avispa
avispa ; camaleon
camaleon ; vaca
vaca ; cebra
cebra ; caballo
caballo ; burro
burro ; conejo
conejo ; gallina
gallina ; gusano
gusano ; lombriz
lombriz ; gallo
gallo ; oveja
oveja ; cerdo
cerdo ; pollo
pollo ; salamandra
salamandra ; salamanquesa
salamanquesa ; renacuajo
camaleon ; gallina
gallina ; perro
perro ; gato
gato ; jirafa
jirafa ; camello
camello ; leon
leon ; tigre
tigre ; marmota
marmota ; delfin
delfin ; ballena
ballena ; rana
rana ; pajaro
pajaro ; loro
loro ; ardilla
ardilla ; erizo
erizo ; serpiente
serpiente ; cocodrilo
cocodrilo ; tiburon
tiburon ; salmon
salmon ; tortuga
tortuga ; dinosaurio
dinosaurio ; cabra
cabra ; oveja
oveja ; vaca
vaca ; cebra
cebra ; jirafa
jirafa ; elefante
elefante ; tigre
tigre ; leon
leon ; cerdo
cerdo ; gallina
gallina ; hipopotamo
hipopotamo ; perro
perro ; gato
gato ; rinoceronte
rinoceronte ; iguana
iguana ; camaleon
camaleon ; caballo
caballo ; jabali
jabali ; pez
pez ; ballena
ballena ; tiburon
tiburon ; mono
perro ; gato
gato ; vaca
vaca ; oveja
oveja ; abeja
abeja ; avispa
avispa ; caballo
caballo ; yegua
yegua ; toro
toro ; conejo
conejo ; pollo
pollo ; gallina
gallina ; gallo
gallo ; iguana
iguana ; lagarto
lagarto ; lagartija
lagartija ; reptil
reptil ; mamifero
mamifero ; ave
ave ; pez
pez ; tiburon
tiburon ; delfin
delfin ; caballitodemar
caballitodemar ; pezespada
pezespada ; gamba
gamba ; gambon
gambon ; almeja
almeja ; chipiron
chipiron ; calamar
calamar ; mejillon
mejillon ; lobo
lobo ; cebra
cebra ; guepardo
guepardo ; leon
leon ; tigre
tigre ; camello
camello ; dromedario
dromedario ; paja
gato ; perro
perro ; pajaro
pajaro ; hamster
hamster ; conejo
conejo ; vaca
vaca ; oveja
oveja ; mamifero
mamifero ; oviparo
oviparo ; cerdo
cerdo ; caballo
perro ; gato
gato ; serpiente
serpiente ; elefante
elefante ; tigre
tigre ; leon
leon ; leopardo
leopardo ; cuervo
cuervo ; oso
oso ; lagarto
lagarto ; camaleon
camaleon ; mariposa
mariposa ; hamster
hamster ; rata
rata ; cocodrilo
cocodrilo ; pez
pez ; mapache
mapache ; zorro
zorro ; perezoso
perezoso ; koala
perro ; gato
gato ; caballo
caballo ; oveja
oveja ; vaca
vaca ; leon
leon ; tigre
tigre ; mono
mono ; pantera
pantera ; loro
loro ; cebra
cebra ; murcielago
murcielago ; oso
oso ; ardilla
ardilla ; cuervo
cuervo ; cerdo
cerdo ; pato
pato ; gallina
gallina ; conejo
perro ; gato
gato ; hamster
hamster ; pez
pez ; vaca
vaca ; cabra
cabra ; oveja
oveja ; raton
raton ; arana
arana ; cucaracha
cucaracha ; mariposa
mariposa ; serpiente
serpiente ; cocodrilo
cocodrilo ; tiburon
tiburon ; tortuga
caballo ; vaca
vaca ; perro
perro ; gato
gato ; delfin
delfin ; ballena
ballena ; elefante
elefante ; jirafa
jirafa ; oso
oso ; mono
mono ; pajaro
pajaro ; loro
loro ; conejo
conejo ; tiburon
tiburon ; tucan
bicho ; insecto
insecto ; caballo
caballo ; mariposa
mariposa ; oso
oso ; gato
gato ; perro
perro ; pajaro
pajaro ; aguila
aguila ; hormiga
hormiga ; arana
arana ; avispa
avispa ; abeja
abeja ; conejo
conejo ; liebre
caballo ; burro
burro ; hamster
hamster ; perro
perro ; gato
gato ; tortuga
tortuga ; conejo
conejo ; leon
leon ; tigre
tigre ; elefante
elefante ; cerdo
cerdo ; oveja
leon ; elefante
elefante ; serpiente
serpiente ; avestruz
avestruz ; girafa
girafa ; cebra
cebra ; cocodrilo
cocodrilo ; oso
oso ; pajaro
pajaro ; tiburon
tiburon ; delfin
delfin ; caballo
caballo ; caballitodemar
caballitodemar ; ballena
ballena ; medusa
medusa ; renacuajo
renacuajo ; rana
rana ; hormiga
hormiga ; pez
pez ; halcon
halcon ; buho
buho ; murcielago
perro ; gato
gato ; loro
loro ; agaporni
agaporni ; alpiste
alpiste ; pienso
pienso ; veterinario
veterinario ; serpiente
serpiente ; hamster
hamster ; cabra
cabra ; vaca
leon ; tigre
tigre ; mono
mono ; gorila
gorila ; gato
gato ; perro
perro ; humano
humano ; pez
pez ; pezglobo
pezglobo ; elefante
elefante ; delfin
delfin ; tiburon
tiburon ; mosca
mosca ; serpiente
serpiente ; lagartija
lagartija ; puma
puma ; escolopendra
escolopendra ; arana
arana ; mosquito
mosquito ; pinfano
tigre ; rinoceronte
rinoceronte ; elefante
elefante ; leon
leon ; cuervo
cuervo ; arana
arana ; hormiga
hormiga ; escarabajo
escarabajo ; cocodrilo
cocodrilo ; pantera
pantera ; gato
gato ; perro
perro ; lince
lince ; guepardo
guepardo ; leopardo
leopardo ; hipopotamo
hipopotamo ; aguila
aguila ; ciguena
ciguena ; mosca
mosca ; abeja
cebra ; leon
leon ; tigre
tigre ; zoologico
zoologico ; aguila
aguila ; cuervo
cuervo ; pato
pato ; rana
rana ; pez
pez ; delfin
delfin ; ballena
ballena ; cangrejo
cangrejo ; golondrina
golondrina ; boqueron
boqueron ; salmon
salmon ; perro
perro ; gato
gato ; salamandra
salamandra ; lagarto
lagarto ; lagartija
lagartija ; arana
arana ; jirafa
jirafa ; hiena
hiena ; nu
nu ; leopardo
leopardo ; jaguar
jaguar ; pantera
pantera ; mono
mono ; orangutan
perro ; gato
gato ; raton
raton ; serpiente
serpiente ; delfin
delfin ; tiburon
tiburon ; ballena
ballena ; leon
leon ; pantera
pantera ; tigre
tigre ; zorro
zorro ; cerdo
cerdo ; vaca
vaca ; ciervo
ciervo ; rinoceronte
rinoceronte ; cocodrilo
cocodrilo ; gallina
gallina ; hipopotamo
pajaro ; perro
perro ; gato
gato ; tigre
tigre ; leon
leon ; mono
mono ; lobo
lobo ; serpiente
serpiente ; arana
arana ; mariposa
mariposa ; delfin
delfin ; ballena
ballena ; tiburon
tiburon ; pez
pez ; rata
rata ; raton
raton ; cebra
cebra ; pollo
pollo ; gallo
gallo ; gallina
gallina ; conejo
gato ; perro
perro ; elefante
elefante ; oso
oso ; tigre
tigre ; conejo
conejo ; hormiga
hormiga ; leon
leon ; mono
mono ; pez
pez ; tortuga
tortuga ; ornitorrinco
ornitorrinco ; rinoceronte
perro ; gato
gato ; conejo
conejo ; liebre
liebre ; caballo
caballo ; pony
pony ; cerdo
cerdo ; cabra
cabra ; oveja
oveja ; cebra
cebra ; canguro
canguro ; leon
leon ; leopardo
leopardo ; elefante
elefante ; jirafa
jirafa ; pinguino
pinguino ; vaca
vaca ; gallina
gallina ; gallo
zorro ; gato
gato ; perro
perro ; compania
compania ; amigable
amigable ; dependiente
dependiente ; leopardo
leopardo ; guepardo
guepardo ; ave
ave ; mamifero
mamifero ; oviparo
oviparo ; pelo
pelo ; cola
cola ; diente
diente ; vida
vida ; leon
leon ; cuidar
cuidar ; especifico
especifico ; viviparo
viviparo ; carnivoro
carnivoro ; herbivoro
herbivoro ; comida
gato ; perro
perro ; mosquito
mosquito ; mosca
mosca ; cucaracha
cucaracha ; camaleon
camaleon ; leon
leon ; tigre
tigre ; puma
puma ; pez
pez ; ballena
ballena ; elefante
elefante ; cangrejo
cangrejo ; escarabajo
perro ; gato
gato ; jirafa
jirafa ; leon
leon ; elefante
elefante ; cebra
cebra ; leopardo
leopardo ; mono
mono ; pajaro
pajaro ; foca
foca ; medusa
medusa ; tiburon
tiburon ; dinosaurio
dinosaurio ; delfin
delfin ; pinguino
pinguino ; cebra
cebra ; vaca
vaca ; ave
ave ; tigre
cabra ; pulpo
pulpo ; oveja
oveja ; perro
perro ; gato
gato ; codorniz
codorniz ; flamenco
flamenco ; pez
pez ; vaca
vaca ; toro
toro ; mosca
mosca ; avispa
avispa ; aguila
aguila ; delfin
delfin ; ballena
ballena ; foca
foca ; cocodrilo
elefante ; jirafa
jirafa ; cocodrilo
cocodrilo ; perro
perro ; gato
gato ; pajaro
pajaro ; conejo
conejo ; cebra
cebra ; cabra
cabra ; oveja
oveja ; rinoceronte
rinoceronte ; vaca
vaca ; toro
perro ; gato
gato ; mariposa
mariposa ; mosca
mosca ; abeja
abeja ; serpiente
caballo ; perro
perro ; gato
gato ; pez
pez ; rana
rana ; mosquito
mosquito ; elefante
elefante ; jirafa
jirafa ; pajaro
pajaro ; culebra
culebra ; mono
cerdo ; elefante
elefante ; buey
buey ; caballo
caballo ; ciervo
ciervo ; libelula
libelula ; perro
perro ; gato
gato ; aguila
aguila ; buho
buho ; leon
leon ; cebra
cebra ; rinoceronte
rinoceronte ; pajaro
pajaro ; serpiente
serpiente ; insecto
perro ; gato
gato ; jaguar
jaguar ; pantera
pantera ; leon
leon ; zapatero
zapatero ; abeja
abeja ; pulpo
pulpo ; pez
pez ; medusa
medusa ; camaleon
camaleon ; pajaro
pajaro ; tigre
tigre ; avestruz
avestruz ; oso
oso ; lobo
gato ; perro
perro ; leon
leon ; gorila
gorila ; mono
mono ; cebra
cebra ; jirafa
jirafa ; elefante
elefante ; pez
pez ; tiburon
tiburon ; ballena
ballena ; gacela
gacela ; hormiga
hormiga ; ciempies
ciempies ; escarabajo
escarabajo ; tigre
tigre ; ave
ave ; pajaro
pajaro ; loro
loro ; aguila
tigre ; serpiente
serpiente ; perro
perro ; gato
gato ; cocodrilo
cocodrilo ; elefante
elefante ; avestruz
avestruz ; hipopotamo
hipopotamo ; conejo
conejo ; pajaro
pajaro ; aguila
aguila ; pez
pez ; cangrejo
cangrejo ; delfin
delfin ; tiburon
tiburon ; mantarraya
granjero ; animaldecompania
animaldecompania ; domesticar
domesticar ; salvaje
salvaje ; naturaleza
naturaleza ; perro
perro ; gato
gato ; tigre
tigre ; leon
leon ; elefante
elefante ; conejo
conejo ; hamster
hamster ; caballo
caballo ; burro
burro ; cebra
cebra ; cerdo
cerdo ; vaca
vaca ; arana
arana ; mariposa
gato ; delfin
delfin ; mariposa
mariposa ; rana
rana ; perro
perro ; canguro
canguro ; oveja
oveja ; cabra
cabra ; caballo
caballo ; sapo
sapo ; arana
arana ; murcielago
murcielago ; vampiro
cerdo ; caballo
caballo ; perro
perro ; gato
gato ; jabali
jabali ; mono
mono ; gorila
gorila ; delfin
delfin ; ballena
ballena ; tiburon
leon ; tigre
tigre ; avestruz
avestruz ; serpiente
serpiente ; perro
perro ; gato
gato ; girafa
girafa ; elefante
elefante ; conejo
conejo ; cerdo
cerdo ; gallina
gallina ; vaca
vaca ; oso
oso ; pez
pez ; tiburon
tiburon ; delfin
delfin ; morsa
morsa ; ballena
ballena ; renacuajo
renacuajo ; pajaro
pajaro ; rana
rana ; hormiga
hormiga ; murcielago
cocodrilo ; leon
leon ; perro
perro ; gato
gato ; pez
pez ; cangrejo
cangrejo ; medusa
medusa ; pulpo
pulpo ; tigre
tigre ; cebra
cebra ; caballo
caballo ; cerdo
cerdo ; pajaro
pajaro ; cabra
cabra ; oveja
oveja ; tiburon
tiburon ; ballena
ballena ; delfin
mono ; tigre
tigre ; leon
leon ; arana
arana ; perro
perro ; gato
gato ; tiburon
tiburon ; mariquita
mariquita ; pez
pez ; mosca
mosca ; elefante
cerdo ; mono
mono ; serpiente
serpiente ; conejo
conejo ; mono
mono ; tucan
tucan ; vaca
vaca ; caballo
caballo ; perro
perro ; gato
gato ; gallina
gallina ; pato
pato ; tiburon
tiburon ; pavo
pavo ; raton
raton ; rata
perro ; gato
gato ; elefante
elefante ; tiburon
tiburon ; conejo
conejo ; pulpo
pulpo ; gato
gato ; tigre
tigre ; leon
leon ; pajaro
pajaro ; aguila
aguila ; pinguino
pinguino ; cebra
cebra ; caballo
caballo ; vaca
vaca ; toro
toro ; pollo
pollo ; cangrejo
cangrejo ; cabra
cabra ; mono
mono ; gorila
perro ; gato
gato ; mono
mono ; gorila
gorila ; lagarto
lagarto ; cabra
cabra ; oveja
oveja ; vaca
vaca ; jabali
jabali ; tigre
tigre ; leon
leon ; guepardo
guepardo ; oso
oso ; hormiga
hormiga ; camello
arana ; cerdo
cerdo ; perro
perro ; gato
gato ; tigre
tigre ; leon
leon ; kiwi
kiwi ; mariposa
perro ; gato
gato ; pajaro
pajaro ; oso
oso ; zoologico
zoologico ; mariposa
mariposa ; mono
mono ; pez
pez ; pecera
pecera ; jaula
jaula ; acuario
acuario ; tiburon
tiburon ; camaleon
camaleon ; conejo
perro ; gato
gato ; leon
leon ; rana
rana ; mosquito
mosquito ; tortuga
tortuga ; raton
raton ; cobaya
cobaya ; caballo
caballo ; camello
camello ; jirafa
jirafa ; serpiente
serpiente ; nutria
nutria ; buho
buho ; pajaro
pajaro ; vaca
vaca ; insecto
insecto ; camaleon
camaleon ; lombriz
cerdo ; rata
rata ; oveja
oveja ; perro
perro ; gato
gato ; caballo
caballo ; yegua
yegua ; burro
burro ; delfin
delfin ; tiburon
tiburon ; pez
pez ; ballena
ballena ; oso
oso ; raton
raton ; mascota
mascota ; hamster
hamster ; cobaya
cobaya ; vaca
vaca ; gallina
gallina ; pato
pato ; cisne
cisne ; aguila
aguila ; ave
ave ; ruisenor
ruisenor ; canario
canario ; tigre
tigre ; leon
leon ; puma
puma ; leopardo
leopardo ; guepardo
cebra ; oso
oso ; mono
mono ; leon
leon ; tigre
tigre ; tiburon
tiburon ; mapache
mapache ; lagartija
lagartija ; tortuga
tortuga ; camaleon
camaleon ; cabra
cabra ; leopardo
leopardo ; iguana
iguana ; delfin
delfin ; koala
koala ; perezoso
perezoso ; perro
perro ; gato
gato ; serpiente
serpiente ; arana
arana ; pajaro
pajaro ; cerdo
cerdo ; vaca
vaca ; orangutan
conejo ; gato
gato ; perro
perro ; caballo
caballo ; toro
toro ; vaca
vaca ; cabra
cabra ; arana
arana ; mosquito
mosquito ; delfin
delfin ; tiburon
tiburon ; tortuga
tortuga ; canguro
canguro ; cocodrilo
cocodrilo ; serpiente
serpiente ; ardilla
ardilla ; hamster
hamster ; marmota
marmota ; comadreja
comadreja ; raton
raton ; hiena
hiena ; loro
loro ; pajaro
leon ; tigre
tigre ; perro
perro ; gato
gato ; mono
mono ; oso
oso ; rinoceronte
rinoceronte ; hipopotamo
hipopotamo ; cocodrilo
cocodrilo ; elefante
elefante ; pajaro
pajaro ; mosca
mosca ; arana
arana ; mosquito
mosquito ; mariquita
mariquita ; mariposa
mariposa ; leopardo
leopardo ; pinguino
pinguino ; pez
pez ; tiburon
tiburon ; ballena
ballena ; calamar
calamar ; pulpo
pulpo ; cangrejo
cangrejo ; gaviota
salmon ; panda
panda ; oso
oso ; gato
gato ; perro
perro ; lobo
lobo ; loro
loro ; aguila
aguila ; ballena
ballena ; panda
panda ; tigre
tigre ; leon
leon ; jirafa
jirafa ; cebra
cebra ; elefante
elefante ; rinoceronte
rinoceronte ; delfin
delfin ; pulpo
pulpo ; raton
raton ; paloma
paloma ; gaviota
gaviota ; osopolar
osopolar ; ciervo
ciervo ; vaca
vaca ; oveja
oveja ; cerdo
vaca ; conejo
conejo ; caballo
caballo ; gato
gato ; raton
raton ; toro
toro ; jirafa
jirafa ; elefante
elefante ; delfin
delfin ; pajaro
leon ; tigre
tigre ; toro
toro ; perro
perro ; tigre
tigre ; mono
mono ; vaca
vaca ; lobo
lobo ; serpiente
serpiente ; cabra
leon ; cocodrilo
cocodrilo ; tiburon
tiburon ; abeja
abeja ; hormiga
hormiga ; conejo
conejo ; liebre
liebre ; perdiz
perdiz ; jabali
jabali ; corzo
corzo ; ciervo
ciervo ; cuervo
cuervo ; aguila
leon ; elefante
elefante ; serpiente
serpiente ; perro
perro ; gato
gato ; tortuga
tortuga ; delfin
delfin ; pinguino
pinguino ; pantera
pantera ; jaguar
jaguar ; pez
pez ; cocodrilo
cocodrilo ; tiburon
tiburon ; ballena
correa ; perro
perro ; gato
gato ; pez
leon ; perro
perro ; gato
gato ; pez
pez ; corzo
corzo ; lobo
lobo ; ninfaesunaclasedepajaro
ninfaesunaclasedepajaro ; jirafa
jirafa ; tigre
cerdo ; vaca
vaca ; gallina
gallina ; ganso
ganso ; pato
pato ; tortuga
tortuga ; cocodrilo
cocodrilo ; pez
pez ; tiburon
tiburon ; caiman
caiman ; escorpion
escorpion ; perro
perro ; gato
gato ; chinchilla
chinchilla ; serpiente
serpiente ; lobo
lobo ; oveja
leon ; tigre
tigre ; osopanda
osopanda ; osopolar
osopolar ; conejo
conejo ; perro
perro ; gato
gato ; pez
pez ; jabali
jabali ; ciervo
ciervo ; corzo
corzo ; osopardo
osopardo ; linceiberico
linceiberico ; puma
puma ; huron
perro ; gato
gato ; tortuga
tortuga ; pez
pez ; huron
huron ; pajaro
perro ; gato
gato ; tiburon
tiburon ; serpiente
serpiente ; mosquito
mosquito ; mosca
mosca ; saltamontes
saltamontes ; tigre
tigre ; leon
leon ; nu
nu ; arce
arce ; murcielago
murcielago ; lagarto
lagarto ; vaca
gato ; perro
perro ; tigre
tigre ; leon
leon ; lince
lince ; jabali
jabali ; corzo
corzo ; alce
alce ; oso
oso ; mosquito
mosquito ; mosca
mosca ; conejo
conejo ; rana
rana ; sapo
sapo ; mono
mono ; chimpance
chimpance ; gorila
gorila ; orangutan
orangutan ; elefante
elefante ; medusa
medusa ; tiburon
tiburon ; caro
gorila ; cerdo
cerdo ; suricato
suricato ; rata
rata ; leon
leon ; tigre
tigre ; tiburon
tiburon ; aguila
aguila ; conejo
conejo ; lobo
lobo ; sapo
sapo ; pato
pato ; gato
gato ; perro
zorro ; leon
leon ; vaca
vaca ; tortuga
tortuga ; perro
perro ; oveja
oveja ; abeja
abeja ; conejo
conejo ; caballo
caballo ; jirafa
jirafa ; mono
mono ; burro
burro ; loro
caballo ; vaca
vaca ; rinoceronte
rinoceronte ; oveja
oveja ; toro
toro ; ciervo
ciervo ; reno
reno ; garza
garza ; pato
pato ; gato
gato ; perro
perro ; hamster
cuervo ; colibri
colibri ; pajaroruisenor
pajaroruisenor ; aguila
aguila ; pantera
pantera ; leon
leon ; tigre
tigre ; cebra
cebra ; mamut
mamut ; hipopotamo
hipopotamo ; pez
pez ; jirafa
jirafa ; mono
mono ; caiman
caiman ; hormiga
hormiga ; abeja
abeja ; abejorro
abejorro ; avispa
avispa ; saltamontes
saltamontes ; cucaracha
cucaracha ; raton
raton ; serpiente
serpiente ; gato
gato ; perro
perro ; mariposa
mariposa ; conejo
conejo ; ardilla
ardilla ; mosquito
mosquito ; tiburon
tiburon ; anguila
leon ; rinoceronte
rinoceronte ; puma
puma ; camaleon
camaleon ; koala
koala ; panda
panda ; oso
oso ; aguila
aguila ; gato
gato ; raton
raton ; perro
perro ; loro
loro ; sapo
sapo ; pajaro
pajaro ; capibara
capibara ; osopolar
osopolar ; hormiga
hormiga ; mosca
mosca ; abeja
