Source ; Target
monky ; gat
gat ; dog
dog ; mouse
hair ; fang
tiger ; elephant
elephant ; lion
lion ; crocrodile
crocrodile ; lizard
lizard ; eagle
eagle ; dog
dog ; cat
cat ; rat
rat ; hamster
hamster ; snake
snake ; bull
bull ; pi
lion ; cat
cat ; dog
dog ; rabbit
rabbit ; froug
froug ; mousen
mousen ; puppy
puppy ; kitten
kitten ; snake
fish ; dog
dog ; cat
cat ; wolf
wolf ; bird
bird ; rat
rat ; spider
spider ; eagle
dog ; fish
fish ; cat
cat ; pig
pig ; tiger
tiger ; frog
frog ; snake
tiger ; turtle
turtle ; lion
lion ; pig
pig ; bear
bear ; bird
bird ; car
car ; dog
dog ; eagle
eagle ; panda
panda ; shark
shark ; fish
fish ; frog
frog ; snake
snake ; fly
fly ; butterfly
butterfly ; scorpion
scorpion ; spider
spider ; zebra
zebra ; monkeygori
elephant ; lion
lion ; tiger
tiger ; penguin
penguin ; cat
cat ; dog
dog ; rabbit
rabbit ; chicken
chicken ; zebra
zebra ; giraffe
giraffe ; mouse
mouse ; bird
bird ; rhino
rhino ; hippo
hippo ; lemur
lion ; tiger
tiger ; dog
dog ; cat
cat ; fish
fish ; hamster
hamster ; monkey
monkey ; zebra
zebra ; sharck
butterfly ; ant
ant ; sheep
sheep ; cow
cow ; cat
cat ; dog
dog ; lion
lion ; tiger
tiger ; fish
fish ; bird
bird ; horse
horse ; pig
pig ; spider
puppy ; rabbit
rabbit ; cat
cat ; kitten
kitten ; hedgehog
hedgehog ; ferret
ferret ; frog
frog ; mouse
mouse ; dog
dog ; cat
cat ; eagle
eagle ; bird
bird ; bear
flamingo ; bird
bird ; guineapig
guineapig ; camouflage
camouflage ; predator
predator ; leopard
leopard ; fur
fur ; spot
spot ; cat
cat ; dog
dog ; snake
snake ; hamster
hamster ; pet
pet ; elephant
dog ; cat
cat ; fish
fish ; tortugle
tortugle ; lion
lion ; butterfly
butterfly ; bird
bird ; bear
bear ; wolf
wolf ; rabbit
dog ; tiger
tiger ; lion
lion ; crocodile
crocodile ; cat
cat ; goat
goat ; snake
snake ; cow
cow ; fish
fish ; rabbit
dog ; cat
cat ; frog
frog ; fish
fish ; cow
cow ; snake
snake ; rabbit
rabbit ; horse
horse ; hamster
hamster ; lion
tiger ; elephant
elephant ; lion
lion ; zebra
zebra ; cat
cat ; dog
dog ; bird
bird ; giraffe
giraffe ; rabbit
rabbit ; mouse
mouse ; frog
dog ; cat
cat ; cow
cow ; bird
bird ; monkey
monkey ; pig
pig ; chicken
paw ; whisker
whisker ; dog
dog ; cat
cat ; elephant
elephant ; lion
lion ; snake
snake ; zebra
zebra ; chicken
chicken ; cow
cow ; bull
bull ; dolphin
dolphin ; tiger
tiger ; hedgehog
hedgehog ; pig
dog ; cat
cat ; lion
lion ; giraffe
giraffe ; elephant
elephant ; snake
snake ; shark
shark ; whale
whale ; fish
fish ; bat
bat ; crocodile
crocodile ; rabbit
rabbit ; bird
dog ; cat
cat ; cheetah
cheetah ; kangaroo
kangaroo ; frog
frog ; ant
ant ; fly
fly ; articbear
articbear ; brownbear
brownbear ; lion
lion ; tiger
tiger ; fox
fox ; lizard
lizard ; donkey
donkey ; monkey
monkey ; horse
horse ; gorilla
gorilla ; wolf
goat ; dog
dog ; cat
cat ; bee
bee ; rat
rat ; pig
pig ; shark
shark ; whale
whale ; wolf
cat ; dog
dog ; frog
frog ; kangaroo
kangaroo ; giraffe
giraffe ; bear
bear ; ant
ant ; brownbear
brownbear ; tiger
tiger ; fox
fox ; lion
lion ; donkey
donkey ; monkey
monkey ; horse
dog ; cat
cat ; rhino
rhino ; lion
lion ; tiger
tiger ; paw
paw ; feather
feather ; fur
fur ; claw
claw ; hedgehog
hedgehog ; mouse
mouse ; rat
rat ; koala
dog ; cat
cat ; squid
squid ; lion
lion ; tiger
tiger ; leopard
leopard ; reindeer
reindeer ; elephant
elephant ; kangaroo
kangaroo ; squirrel
squirrel ; mouse
mouse ; rat
rat ; lizard
lizard ; frog
frog ; bird
bird ; parrot
parrot ; eagle
bird ; zebra
panda ; zebra
zebra ; bee
bee ; bear
bear ; monkey
monkey ; horse
horse ; bull
bull ; dog
dog ; cat
cat ; cow
cow ; dolphin
dolphin ; seadog
seadog ; bat
bat ; tiger
tiger ; lion
lion ; crocodile
crocodile ; goat
goat ; elephant
elephant ; giraffe
cat ; dog
dog ; parrot
parrot ; rabbit
rabbit ; mouse
mouse ; bear
bear ; monkey
monkey ; bee
bee ; butterfly
butterfly ; fly
dog ; cat
cat ; cow
cow ; goat
goat ; tiger
tiger ; whale
whale ; snake
snake ; shark
shark ; elephant
elephant ; sheep
sheep ; pig
pig ; duck
duck ; eagle
eagle ; fly
fly ; bee
cat ; dog
dog ; rabbit
rabbit ; fish
fish ; frog
frog ; bunny
bunny ; bird
bird ; pet
pet ; whale
whale ; shark
cat ; dog
dog ; lion
lion ; tiger
tiger ; shark
shark ; elephant
elephant ; bird
bird ; pig
pig ; sheep
sheep ; parrot
parrot ; rabbit
rabbit ; fox
fox ; horse
horse ; goat
goat ; whale
whale ; dolphin
dolphin ; fish
fish ; chicken
chicken ; giraffe
tiger ; dog
dog ; cat
elephant ; cheetah
cheetah ; dog
dog ; cat
cat ; fish
fish ; turtle
turtle ; penguin
penguin ; bat
bat ; butterfly
butterfly ; ant
ant ; crocodile
crocodile ; snake
snake ; spider
spider ; fly
dog ; cat
cat ; bird
bird ; bear
bear ; jaw
jaw ; horse
elephant ; cat
cat ; dog
dog ; snake
snake ; whale
whale ; shark
shark ; fish
fish ; lion
lion ; tiger
tiger ; horse
horse ; puma
puma ; cheetah
cheetah ; eagle
eagle ; bird
bird ; fly
fly ; mosquito
parrot ; lion
lion ; dog
dog ; cat
cat ; chameleon
chameleon ; dolphin
dolphin ; bug
bug ; bee
bee ; fish
fish ; shark
shark ; snake
snake ; lizard
lizard ; bird
bird ; pelican
pelican ; bear
bear ; deer
deer ; monkey
monkey ; bull
bull ; crocodile
dog ; cat
cat ; koala
koala ; rabbit
rabbit ; fox
fox ; butterfly
butterfly ; pig
pig ; horse
horse ; cow
cow ; bear
bear ; bird
bird ; chicken
rabbit ; butterfly
butterfly ; dog
dog ; cat
cat ; pig
pig ; fox
fox ; hamster
hamster ; bird
bird ; bug
bug ; guepard
guepard ; snake
snake ; fish
monkey ; dog
dog ; cat
cat ; fish
fish ; cow
cow ; dolphin
dolphin ; goat
goat ; lion
lion ; zebra
zebra ; pulp
pulp ; sheep
sheep ; pig
pig ; lizard
lizard ; frog
frog ; bee
bee ; ant
ant ; mosquito
mosquito ; crocodile
crocodile ; elephant
elephant ; bird
bird ; rabbit
rabbit ; hamster
hamster ; chicken
chicken ; butterfly
pig ; bird
bird ; chicken
chicken ; ladybug
ladybug ; duck
duck ; pidgeon
pidgeon ; dog
dog ; cat
cat ; rabbit
rabbit ; snake
snake ; lizard
lizard ; crocodile
crocodile ; frog
frog ; hamster
hamster ; fly
fly ; spider
spider ; butterfly
dog ; cat
cat ; duck
duck ; salamander
salamander ; butterfly
butterfly ; bee
bee ; giraffe
giraffe ; elephant
elephant ; zebra
zebra ; lion
lion ; tiger
tiger ; monkey
monkey ; gorilla
gorilla ; frog
cat ; dog
elephant ; tiger
tiger ; lion
lion ; dolphin
dolphin ; monkey
monkey ; mouse
mouse ; bee
bee ; cat
cat ; dog
dog ; fish
fish ; shark
shark ; bird
bird ; lizard
lizard ; crocodile
crocodile ; bear
bear ; pelican
pelican ; eagle
eagle ; bull
cheetah ; lion
lion ; tiger
tiger ; panther
panther ; squid
squid ; octopus
octopus ; fish
fish ; human
human ; toucan
toucan ; bird
bird ; kangaroo
kangaroo ; elephant
elephant ; hippo
hippo ; rat
rat ; mouse
mouse ; alligator
alligator ; lizard
lizard ; sheep
sheep ; cow
frog ; butterfly
butterfly ; worm
worm ; bird
bird ; crocodile
crocodile ; fish
fish ; cat
cat ; dog
dog ; chicken
dog ; cat
cat ; elephant
elephant ; pet
pet ; turtle
turtle ; bird
bird ; zebra
zebra ; panther
panther ; lion
lion ; tiger
tiger ; butterfly
butterfly ; rat
rat ; snake
snake ; bull
dog ; pig
pig ; sheep
sheep ; rabbit
rabbit ; parrot
parrot ; horse
horse ; cow
cow ; goat
goat ; chicken
chicken ; fish
fish ; shark
cat ; dog
dog ; horse
horse ; sheep
sheep ; camel
camel ; rabbit
rabbit ; bunny
bunny ; kitten
kitten ; chicken
chicken ; chick
chick ; dolphin
dolphin ; fish
fish ; cow
cow ; bird
bird ; lizard
lizard ; parrot
cat ; dog
dog ; bird
bird ; mammal
mammal ; pig
pig ; zebra
zebra ; fish
fish ; lynx
lynx ; wolf
wolf ; lion
ant ; dog
dog ; spider
spider ; snake
snake ; dog
dog ; cat
cat ; butterfly
butterfly ; elephant
elephant ; giraffe
giraffe ; mouse
mouse ; tiger
dog ; cat
cat ; horse
horse ; crocodile
crocodile ; monkey
monkey ; bird
bird ; zebra
zebra ; eagle
eagle ; tiger
tiger ; lion
lion ; spider
spider ; ant
ant ; wasp
wasp ; chicken
chicken ; sheep
sheep ; cow
cow ; mouse
dog ; cat
cat ; butterfly
butterfly ; horse
horse ; frog
frog ; mouse
mouse ; spider
elephant ; dog
dog ; cat
cat ; horse
horse ; giraffe
giraffe ; rabbit
rabbit ; fish
fish ; lion
lion ; mouse
mouse ; cow
cow ; pig
bug ; lion
lion ; bird
bird ; cat
cat ; dog
dog ; tiger
tiger ; zoo
zoo ; spider
spider ; bear
bear ; fox
fox ; butterfly
butterfly ; fly
dog ; puppy
puppy ; cat
cat ; kitten
kitten ; elephant
elephant ; cow
cow ; horse
horse ; pig
pig ; crocodile
crocodile ; turtle
turtle ; tortoise
tortoise ; bunny
bunny ; lion
lion ; giraffe
giraffe ; tiger
dog ; cat
cat ; snake
snake ; rabbit
rabbit ; lion
lion ; elephant
elephant ; horse
horse ; bird
bird ; butterfly
butterfly ; lizard
lizard ; octopus
dog ; cat
cat ; cow
cow ; parrot
bird ; lion
lion ; tiger
tiger ; jungle
jungle ; insect
insect ; sky
sky ; dolphin
dolphin ; fish
fish ; shark
shark ; human
human ; monkey
tiger ; lion
lion ; cat
cat ; rhino
rhino ; dog
dog ; bird
bird ; crow
crow ; spider
spider ; lizard
lizard ; ant
ant ; bear
bear ; giraffe
giraffe ; panther
panther ; swan
swan ; horse
horse ; rat
rat ; mouse
mouse ; elephant
giraffe ; hippo
hippo ; zebra
zebra ; sheep
sheep ; dog
dog ; cat
cat ; cheetah
cheetah ; feed
feed ; ecosystem
ecosystem ; fish
fish ; whale
whale ; dolphin
dolphin ; crab
crab ; eagle
eagle ; bird
bird ; bear
bear ; polarbear
polarbear ; wolf
dog ; cat
cat ; dolphin
dolphin ; lion
lion ; pig
pig ; cow
fly ; bird
bird ; dog
dog ; cat
cat ; fox
fox ; whale
whale ; frog
frog ; feather
feather ; butterfly
butterfly ; insect
insect ; mosquito
mosquito ; bite
bite ; spider
spider ; nature
dog ; cat
cat ; tiger
tiger ; fox
fox ; mouse
mouse ; bird
bird ; butterfly
butterfly ; bear
bear ; snake
snake ; crocodile
crocodile ; elephant
dog ; cat
cat ; horse
horse ; lion
lion ; zebra
zebra ; giraffe
giraffe ; rabbit
rabbit ; rat
rat ; fish
fish ; shark
shark ; pig
guepard ; lion
lion ; step
step ; hair
hair ; tail
tail ; bird
bird ; fly
fly ; mammal
mammal ; egg
egg ; life
dog ; cat
cat ; bee
bee ; ant
ant ; butterfly
butterfly ; spider
spider ; monkey
monkey ; shark
shark ; fish
dog ; cat
cat ; lion
lion ; bird
bird ; elephant
elephant ; monkey
cat ; dog
dog ; zebra
zebra ; monkey
monkey ; bird
bird ; whale
whale ; shark
shark ; fish
fish ; shrimp
shrimp ; tiger
tiger ; snake
snake ; lion
lion ; octopus
octopus ; rat
rat ; rabbit
elephant ; fish
fish ; lion
snake ; carterpillar
carterpillar ; monkey
monkey ; butterfly
butterfly ; gorilla
gorilla ; fly
fly ; bee
bee ; bird
elephant ; rabbit
rabbit ; dog
dog ; cat
cat ; horse
horse ; fish
fish ; mouse
mouse ; lion
pig ; cow
cow ; dog
dog ; cat
cat ; monkey
monkey ; horse
horse ; bird
dog ; cat
cat ; rabbit
rabbit ; snake
snake ; elephant
elephant ; octopus
octopus ; puppy
lion ; tiger
tiger ; elephant
elephant ; cat
cat ; pet
pet ; dog
dog ; fish
fish ; monkey
monkey ; ant
ant ; spider
dog ; cat
cat ; snake
zoo ; vet
vet ; farm
farm ; stock
stock ; bird
dog ; cat
cat ; elephant
elephant ; crocodile
crocodile ; pig
pig ; bunny
bunny ; tiger
tiger ; lion
lion ; tortoise
tortoise ; horse
cat ; lion
lion ; butterfly
butterfly ; dog
dog ; turtle
turtle ; dolphin
dolphin ; whale
dog ; cat
cat ; mouse
mouse ; horse
horse ; pig
pig ; bird
bird ; shark
shark ; whale
whale ; dolphin
cat ; dog
dog ; bird
bird ; elephant
elephant ; horse
horse ; giraffe
giraffe ; lion
lion ; rabbit
rabbit ; snake
snake ; dolphin
zebra ; monkey
monkey ; elephant
elephant ; lion
lion ; tiger
tiger ; snake
snake ; fish
fish ; bird
bird ; octopus
octopus ; dog
dog ; cat
cat ; dolphin
dolphin ; crocodile
crocodile ; frog
dog ; cat
cat ; bear
bear ; spider
spider ; lion
lion ; butterfly
butterfly ; ant
dog ; cat
cat ; rabbit
rabbit ; elephant
elephant ; lion
lion ; giraffe
giraffe ; mouse
mouse ; cow
cow ; pig
pig ; horse
horse ; monkey
monkey ; snake
dog ; cat
cat ; tiger
tiger ; rabbit
rabbit ; snake
snake ; horse
horse ; chicken
chicken ; shark
tiger ; monkey
monkey ; lizard
lizard ; lion
lion ; eagle
eagle ; bird
bird ; penguin 
penguin  ; bear
bear ; shark
shark ; dolphin
dolphin ; cow
pig ; spider
spider ; dog
dog ; cat
cat ; tiger
tiger ; lion
elephant ; bird
bird ; cat
cat ; dog
dog ; zoo
zoo ; rabbit
dog ; cat
cat ; lion
lion ; turtle
turtle ; cheetah
cheetah ; squirrel
squirrel ; mosquito
mosquito ; rat
rat ; cow
cow ; horse
horse ; snake
horse ; dog
dog ; rabbit
rabbit ; cat
cat ; dolphin
dolphin ; shark
shark ; squirrel
squirrel ; bird
bird ; eagle
eagle ; fish
fish ; whale
whale ; hamster
hamster ; crocodile
crocodile ; mouse
mouse ; duck
duck ; elephant
mammal ; water
water ; jungle
jungle ; sea
sea ; fish
fish ; sh
wasp ; cow
cow ; crocodile
crocodile ; goat
goat ; dog
dog ; cat
cat ; chicken
chicken ; bird
bird ; bear
bear ; dolphin
dolphin ; fish
fish ; hamster
hamster ; fox
fox ; wildanimal
wildanimal ; kangaroo
kangaroo ; zebra
zebra ; horse
horse ; ant
tiger ; lion
lion ; dog
dog ; cat
cat ; crocodile
crocodile ; butterfly
butterfly ; fly
fly ; spider
spider ; lizard
lizard ; bug
bug ; gorilla
gorilla ; pig
pig ; cow
cow ; sheep
sheep ; guineapig
guineapig ; kangaroo
lion ; parrot
parrot ; tiger
tiger ; dolphin
dolphin ; panda
panda ; dog
dog ; cat
cat ; snake
snake ; bird
bird ; monkey
monkey ; rabbit
snack ; dolphin
dolphin ; giraffe
dog ; lion
lion ; tiger
tiger ; horse
horse ; giraffe
giraffe ; cow
dog ; fish
fish ; cat
cat ; lion
lion ; monkey
monkey ; bee
bee ; crocodile
crocodile ; shark
shark ; parrot
tiger ; giraffe
giraffe ; penguin
penguin ; elephant
elephant ; lion
lion ; snake
snake ; dolphin
dolphin ; dog
dog ; cat
cat ; rabbit
rabbit ; whale
caw ; mammal
mammal ; horse
horse ; snake
snake ; dog
dog ; cat
cat ; fish
fish ; crocodile
elephant ; giraffe
giraffe ; lion
lion ; wolf
wolf ; dog
duck ; dog
dog ; wolf
wolf ; cat
cat ; lion
lion ; monkey
monkey ; tiger
lion ; elephant
elephant ; monkey
monkey ; rabbit
rabbit ; dog
dog ; cat
cat ; snake
snake ; parrot
parrot ; horse
cow ; pig
pig ; sheep
sheep ; horse
horse ; chicken
chicken ; dog
dog ; cat
cat ; fish
fish ; bear
bear ; rabbit
rabbit ; turtle
turtle ; dolphin
dog ; cat
cat ; snake
snake ; frog
frog ; rabbit
dog ; cat
cat ; elephant
elephant ; frog
frog ; rabbit
rabbit ; snake
snake ; fish
pig ; monkey
monkey ; rat
rat ; frog
frog ; duck
butterfly ; donkey
donkey ; chicken
chicken ; sheep
sheep ; monkey
monkey ; cow
cow ; bull
bull ; zebra
zebra ; shark
shark ; dolphin
dolphin ; dog
dog ; cat
cat ; sheep
sheep ; elephant
elephant ; pony
dog ; cat
cat ; horse
horse ; butterfly
butterfly ; hummingbird
hummingbird ; fish
fish ; rabbit
rabbit ; lion
lion ; bird
bird ; snake
dog ; lion
lion ; cat
cat ; mouse
mouse ; monkey
monkey ; snake
snake ; bear
bear ; panda
panda ; fish
fish ; shark
shark ; trex
cat ; dog
dog ; monkey
monkey ; crocodile
crocodile ; bunny
bunny ; spider
spider ; bug
bug ; horse
horse ; cow
lion ; tiger
tiger ; cat
cat ; dog
dog ; frog
frog ; turtle
turtle ; giraffe
giraffe ; snake
snake ; snake
snake ; monkey
monkey ; chicken
chicken ; mouse
mouse ; rat
rat ; cow
cow ; sheep
sheep ; donkey
donkey ; bull
bull ; butterfly
elephant ; lion
lion ; cat
cat ; dog
dog ; pig
pig ; bee
bee ; cow
cow ; horse
horse ; dog
dog ; rabbit
rabbit ; monkey
monkey ; bird
bird ; fish
fish ; panda
panda ; grizzli
snake ; wolf
wolf ; cow
cow ; cat
cat ; dog
dog ; eagle
eagle ; lion
lion ; tiger
tiger ; elephant
elephant ; monkey
monkey ; sheep
sheep ; bee
dog ; cat
cat ; fish
fish ; sheep
sheep ; horse
horse ; snake
snake ; lion
lion ; cheetah
cheetah ; dolphin
dolphin ; shark
shark ; bird
bird ; spider
spider ; crocodile
crocodile ; monkey
cat ; dog
dog ; horse
horse ; cow
cow ; giraffe
giraffe ; spider
spider ; bee
bee ; sheep
sheep ; snake
snake ; crocodile
crocodile ; koala
koala ; elephant
elephant ; monkey
monkey ; pig
dog ; cat
cat ; lion
lion ; tiger
tiger ; horse
horse ; bull
bull ; giraffe
giraffe ; mouse
mouse ; cheetah
cheetah ; zebra
zebra ; panda
panda ; bird
bird ; snake
snake ; shark
shark ; fish
fish ; bear
dog ; cat
cat ; horse
horse ; bug
snake ; dog
dog ; cat
cat ; elephant
elephant ; fish
fish ; bird
bird ; eagle
eagle ; raven
raven ; leopard
leopard ; chicken
chicken ; mouse
mouse ; monkey
monkey ; lion
lion ; bear
bear ; horse
cat ; dog
dog ; lion
lion ; shark
shark ; rat
rat ; fish
fish ; octopus
octopus ; giraffe
giraffe ; turtle
turtle ; bear
bear ; elephant
elephant ; monkey
dog ; cat
cat ; horse
horse ; kitten
kitten ; puppy
puppy ; giraffe
giraffe ; bear
bear ; bat
bat ; zebra
zebra ; panda
panda ; shark
shark ; fish
fish ; clownfish
clownfish ; cow
cow ; rabbit
rabbit ; snake
snake ; lion
lion ; insect
insect ; spider
panda ; snake
snake ; dog
dog ; cat
cat ; horse
horse ; cow
cow ; sheep
sheep ; lion
lion ; tiger
tiger ; bird
bird ; monkey
dog ; cat
cat ; snake
snake ; elephant
elephant ; tiger
tiger ; cow
cow ; wolf
wolf ; lion
lion ; eagle
eagle ; giraffe
giraffe ; bird
bird ; scorpion
scorpion ; gorilla
gorilla ; duck
duck ; monkey
monkey ; fish
horse ; dolphin
dolphin ; fish
fish ; crocodile
crocodile ; chicken
chicken ; mouse
mouse ; dog
dog ; cat
cat ; koala
koala ; bird
bird ; eagle
cow ; sheep
sheep ; bunny
bunny ; giraffe
giraffe ; cat
cat ; dog
dog ; turtle
turtle ; fish
fish ; tiger
tiger ; shark
shark ; lion
lion ; hamster
hamster ; rat
rat ; snake
snake ; cockroach
cockroach ; rollyp
lion ; horse
horse ; dog
dog ; cat
cat ; zebra
zebra ; snake
amphibian ; tiger
tiger ; monkey
monkey ; parrot
parrot ; bird
bird ; cat
cat ; dog
dog ; goldfish
goldfish ; panther
panther ; lion
lion ; hamster
hamster ; mouse
mouse ; rat
cow ; horse
horse ; dog
dog ; cat
cat ; fish
fish ; frog
frog ; bird
bird ; crocodile
crocodile ; giraffe
giraffe ; spider
spider ; hippo
zoo ; dog
dog ; cat
cat ; elephant
elephant ; fish
fish ; otter
otter ; fox
fox ; lizard
lizard ; frog
frog ; spider
spider ; ant
ant ; hamster
hamster ; mouse
mouse ; rat
cat ; snake
snake ; cow
cow ; dog
dog ; horse
horse ; chicken
dog ; cat
cat ; water
water ; eat
eat ; giraffe
giraffe ; bird
bird ; butterfly
butterfly ; elephant
elephant ; zebra
cat ; rabbit
zebra ; lion
lion ; carrot
shark ; snake
snake ; rabbit
rabbit ; frog
frog ; crocodile
crocodile ; horse
horse ; bat
bat ; dog
dog ; cat
cat ; giraffe
ant ; cow
cow ; chicken
chicken ; lion
lion ; spider
spider ; horse
horse ; snake
cat ; dog
dog ; monkey
monkey ; horse
horse ; giraffe
giraffe ; zebra
zebra ; lion
lion ; carterpillar
carterpillar ; butterfly
butterfly ; ladybug
ladybug ; fly
fly ; pig
pig ; cow
cow ; sheep
sheep ; goat
goat ; rooster
rooster ; puppy
puppy ; tiger
dog ; snake
snake ; cat
cat ; horse
horse ; crocodile
crocodile ; zebra
zebra ; bat
bat ; elephant
elephant ; frog
wildlife ; giraffe
giraffe ; lion
lion ; bird
bird ; pig
pig ; cow
cow ; butterfly
butterfly ; bee
bee ; sheep
sheep ; ladybug
ladybug ; cat
cat ; dog
dog ; fish
dog ; cat
cat ; elephant
elephant ; chameleon
chameleon ; tiger
tiger ; lion
lion ; fish
fish ; pig
pig ; bear
bear ; koala
fox ; pig
pig ; turtle
turtle ; jellyfish
jellyfish ; fish
fish ; crocodile
crocodile ; dog
dog ; cat
cat ; hamster
hamster ; monkey
monkey ; ladybug
ladybug ; dinosaur
dinosaur ; zebra
zebra ; rabbit
rabbit ; wolf
wolf ; giraffe
bear ; elephant
elephant ; snake
snake ; cat
cat ; dog
dog ; snail
snail ; egg
egg ; poop
poop ; giraffe
giraffe ; tail
tail ; bird
bird ; whale
whale ; panther
panther ; lion
lion ; savannah
savannah ; bear
bear ; fish
bird ; cat
cat ; dog
dog ; rabbit
rabbit ; dolphin
dolphin ; chicken
chicken ; turtle
turtle ; caw
caw ; horse
horse ; parrot
parrot ; lion
lion ; snake
parrot ; fish
fish ; rabbit
rabbit ; snake
snake ; lion
lion ; tiger
tiger ; elephant
elephant ; bear
bear ; shark
