Source ; Target
hermano ; hermana
hermana ; querer
querer ; cuidar
cuidar ; preocupar
preocupar ; abrazar
abrazar ; besar
besar ; acompanar
acompanar ; regalar
pareja ; novio
novio ; anillo
anillo ; regalo
regalo ; bombon
bombon ; chocolate
chocolate ; peluche
peluche ; detalle
detalle ; carta
carta ; novio
novio ; novia
novia ; embarazo
embarazo ; hijo
hijo ; caricia
caricia ; beso
beso ; abrazo
abrazo ; collar
collar ; corazon
corazon ; boda
pareja ; amigo
amigo ; novio
novio ; novia
novia ; padre
padre ; abrazo
abrazo ; beso
beso ; carino
carino ; familia
familia ; corazon
corazon ; regalo
regalo ; anillo
anillo ; casamiento
casamiento ; enamorado
enamorado ; confianza
carino ; abrazo
abrazo ; actosdeservicio
actosdeservicio ; pareja
pareja ; novio
novio ; regalo
regalo ; peluche
peluche ; ramo
ramo ; familia
familia ; amigo
amigo ; beso
beso ; romance
romance ; pasion
pasion ; cuidado
cuidado ; atencion
atencion ; palabrabonita
palabrabonita ; contacto
contacto ; compartir
pareja ; matrimonio
matrimonio ; boda
boda ; novio
novio ; regalo
regalo ; felicidad
felicidad ; ramodeflor
ramodeflor ; chocolate
chocolate ; cita
cita ; familia
familia ; confianza
confianza ; respeto
respeto ; cena
cena ; planesdefuturo
planesdefuturo ; hijo
hijo ; embarazo
embarazo ; beso
beso ; abrazo
abrazo ; rojo
rojo ; rosa
rosa ; pasion
bonito ; carino
carino ; bondad
bondad ; confiar
confiar ; querer
querer ; sanvalentin
sanvalentin ; pasartiempoconunapersona
pasartiempoconunapersona ; respetar
respetar ; fidelidad
fidelidad ; sertumismo
sertumismo ; expresar
vida ; carino
carino ; amor
amor ; mi
rojo ; regalo
regalo ; corazon
corazon ; familia
familia ; novio
novio ; novia
novia ; abrazo
abrazo ; beso
beso ; amistad
amistad ; bombon
bombon ; boda
boda ; matrimonio
bombon ; rosa
rosa ; abrazo
abrazo ; beso
beso ; carino
carino ; novio
novio ; novia
novia ; pareja
pareja ; ponerloscuerno
ponerloscuerno ; desamor
desamor ; pelicularomantica
pelicularomantica ; ramodeflor
ramodeflor ; familia
familia ; amigo
pareja ; novio
novio ; novia
novia ; relacion
relacion ; sentimiento
sentimiento ; flor
flor ; ramodeflor
ramodeflor ; bombon
bombon ; sanvalentin
sanvalentin ; carta
carta ; familia
familia ; amigo
amigo ; beso
beso ; rosa
rosa ; rojo
rojo ; pasion
pasion ; detalle
detalle ; regalo
fidelidad ; confianza
confianza ; corazon
corazon ; lealtad
lealtad ; querer
querer ; felicidad
felicidad ; carino
carino ; compromiso
compromiso ; bonito
bonito ; entregarse
entregarse ; desear
desear ; sentimiento
sentimiento ; pensamiento
pensamiento ; novio
novio ; novia
novia ; marido
marido ; mujer
corazon ; sentimiento
sentimiento ; querer
querer ; apreciar
apreciar ; respetar
respetar ; sentir
sentir ; enamorar
enamorar ; detalle
detalle ; especial
especial ; flor
sentimiento ; emocion
emocion ; confianza
confianza ; fidelidad
fidelidad ; respeto
respeto ; honestidad
honestidad ; pasion
pasion ; comunicacion
comunicacion ; novio
novio ; novia
novia ; pareja
pareja ; matrimonio
matrimonio ; sinceridad
sinceridad ; union
union ; beso
afecto ; novioa
novioa ; amigo
amigo ; amiga
amiga ; familia
familia ; boda
novio ; novia
novia ; beso
beso ; corazon
corazon ; abrazo
abrazo ; carino
carino ; boda
boda ; amistad
amistad ; amigo
amigo ; familia
pareja ; novio
novio ; novia
novia ; boda
boda ; abrazar
abrazar ; agarrarmano
agarrarmano ; beso
novio ; casarse
casarse ; beso
beso ; abrazo
abrazo ; pareja
pareja ; confiar
confiar ; comprension
comprension ; respeto
beso ; abrazo
abrazo ; carta
carta ; regalo
regalo ; familia
familia ; novio
novio ; pareja
pareja ; matrimonio
familia ; novio
novio ; novia
novia ; querer
querer ; amante
amante ; esposo
esposo ; esposa
esposa ; hijo
hijo ; amigo
corazon ; novia
novia ; novio
novio ; familia
familia ; abrazo
abrazo ; beso
beso ; caricia
caricia ; mejoramigo
mejoramigo ; amigo
amigo ; regalo
sentimiento ; novio
novio ; novia
novia ; corazon
corazon ; chocolate
chocolate ; beso
beso ; flor
flor ; familia
familia ; querer
querer ; carino
carino ; mote
mote ; abrazo
abrazo ; darlamano
darlamano ; enamorar
sanvalentin ; familia
familia ; amistad
amistad ; pareja
union ; pasion
pasion ; paz
paz ; tranquilidad
tranquilidad ; comunicacion
comunicacion ; respeto
respeto ; fidelidad
fidelidad ; conexion
conexion ; beso
beso ; abrazo
abrazo ; perdon
beso ; abrazo
abrazo ; cupido
cupido ; regalo
regalo ; cita
carino ; aprecio
aprecio ; cuidar
cuidar ; confianza
confianza ; amabilidad
amabilidad ; generosidad
generosidad ; respeto
respeto ; temer
temer ; rechazar
rechazar ; dependenciaemocional
respeto ; confianza
confianza ; conexion
conexion ; comunicacion
comunicacion ; atraccion
pareja ; abrazar
abrazar ; besar
besar ; amigo
amigo ; familia
familia ; respetar
respetar ; cuidar
cuidar ; querer
querer ; sanvalentin
sanvalentin ; amable
amiga ; novia
novia ; novio
novio ; felicidad
felicidad ; querer
felicidad ; bombon
bombon ; familia
familia ; amigo
amigo ; amor
amor ; cena
cena ; rosa
rosa ; empatia
empatia ; comprension
comprension ; rosa
rosa ; flor
casarse ; marido
marido ; mujer
mujer ; hombre
hombre ; dama
dama ; anillo
anillo ; boda
boda ; carino
carino ; querer
querer ; noviazgo
noviazgo ; novio
novio ; novia
novia ; beso
beso ; caricia
caricia ; hijo
hijo ; hija
hija ; amistad
amistad ; hermandad
hermandad ; union
beso ; querer
querer ; novio
novio ; novia
novia ; abrazo
abrazo ; sentirsebien
sentirsebien ; corazon
corazon ; divertido
novio ; novia
novia ; familia
familia ; madre
madre ; padre
padre ; companero
companero ; amigo
amigo ; abuelo
abuelo ; abuela
abuela ; hermana
hermana ; hermano
hermano ; primo
primo ; prima
prima ; tio
tio ; tia
tia ; bisabuela
bisabuela ; bisabuelo
respeto ; flor
flor ; carta
carta ; comunicacion
comunicacion ; querer
querer ; apoyar
apoyar ; reir
reir ; disfrutar
disfrutar ; compartir
compartir ; empatia
querer ; pareja
amigo ; novio
novio ; familia
familia ; regalar
regalar ; anillo
anillo ; sanvalentin
sanvalentin ; flor
flor ; rosa
rosa ; carta
abrazo ; beso
beso ; cartadeamor
cartadeamor ; flor
flor ; detalle
detalle ; viaje
viaje ; boda
boda ; pareja
beso ; sexo
sexo ; amor
amor ; matrimonio
matrimonio ; divorcio
divorcio ; boda
boda ; lunademiel
lunademiel ; viajedeamor
viajedeamor ; bodadeoro
bodadeoro ; bodadeplata
bodadeplata ; suegro
suegro ; suegra
suegra ; cunado
abrazo ; querer
querer ; abrazar
abrazar ; besar
besar ; enamorar
enamorar ; corazonroto
corazonroto ; corazonenamorado
pareja ; familia
familia ; beso
beso ; abrazo
abrazo ; carino
romantico ; pelicula
pelicula ; sanvalentin
sanvalentin ; rojo
rojo ; flor
flor ; rosa
rosa ; regalo
regalo ; ilusion
ilusion ; desilusion
desilusion ; infidelidad
infidelidad ; cuerno
cuerno ; desesperante
amigo ; pareja
pareja ; novio
novio ; novia
novia ; respeto
respeto ; confianza
confianza ; familia
familia ; amistad
amistad ; felicidad
amigo ; familia
familia ; novio
novio ; abrazo
abrazo ; beso
beso ; regalo
regalo ; detalle
detalle ; ilusion
ilusion ; alegria
alegria ; amistad
corazon ; carta
novia ; novio
novio ; bombon
bombon ; flor
flor ; cupido
cupido ; sanvalentin
sanvalentin ; peluche
peluche ; beso
beso ; abrazo
abrazo ; amigo
sanvalentin ; flor
flor ; rojo
rojo ; carta
carta ; piruleta
piruleta ; chuche
chuche ; chocolate
chocolate ; novio
novio ; novia
novia ; beso
beso ; familia
familia ; amar
amar ; carino
carino ; darlamano
darlamano ; abrazar
abrazar ; enamorar
enamorar ; ayuda
familia ; amigo
amigo ; corazon
corazon ; canciondeamor
canciondeamor ; novio
novio ; novia
novia ; amistad
amistad ; ayudar
ayudar ; apodocarinoso
apodocarinoso ; regalo
regalo ; cartadeamor
cartadeamor ; felicidad
felicidad ; carino
carino ; casarse
casarse ; anillo
anillo ; boda
boda ; hijo
relacion ; novio
novio ; carta
carta ; canciondeamor
canciondeamor ; diversion
diversion ; beso
beso ; confianza
carta ; beso
beso ; abrazo
abrazo ; matrimonio
matrimonio ; regalo
madre ; padre 
padre  ; amigo
amigo ; pareja
pareja ; futbol
futbol ; deporte
deporte ; beso
beso ; abrazo
pareja ; novio
novio ; novia
novia ; relacion
relacion ; familia
corazon ; corazonroto
corazonroto ; amor
amor ; beso
beso ; abrazo
abrazo ; regalo
regalo ; hablar
hablar ; escuchar
pareja ; enamorado
enamorado ; sanvalentin
sanvalentin ; corazon
amigo ; pareja
pareja ; novia
novia ; novio
novio ; sanvalentin
sanvalentin ; boda
boda ; marido
marido ; mujer
mujer ; casa
casa ; padre
padre ; boda
boda ; hijo
hijo ; bombon
bombon ; regalo
regalo ; confianza
confianza ; respeto
respeto ; romantico
enamorar ; novio
novio ; novia
novia ; marido
marido ; esposa
esposa ; familia
familia ; bonito
bonito ; sincero
sincero ; profundo
profundo ; corazon
corazon ; pareja
pareja ; companero
companero ; convivir
novia ; novio
novio ; amigo
amigo ; familia
familia ; corazon
corazon ; paz
paz ; respeto
respeto ; comunicacion
comunicacion ; atencion
atencion ; cuidar
cuidar ; ejemplo
ejemplo ; confianza
confianza ; besar
besar ; abrazar
abrazar ; llorar
pareja ; novio
novio ; novia
novia ; marido
marido ; mujer
mujer ; viajedenovio
viajedenovio ; lunademiel
lunademiel ; boda
boda ; familia
familia ; carino
carino ; lealtad
lealtad ; fiel
fiel ; hijo
hijo ; hija
hija ; corazon
corazon ; enamorada
enamorada ; falsasilusion
falsasilusion ; ideal
ideal ; idealizar
beso ; abrazo
abrazo ; carino
carino ; afecto
afecto ; agarrarmano
agarrarmano ; caricia
caricia ; pareja
pareja ; salir
salir ; cita
padres ; amigo
amigo ; futbol
futbol ; deporte
deporte ; mujer
madre ; padre
padre ; hermana
hermana ; hermano
hermano ; familia
carta ; cita
cita ; beso
beso ; abrazo
abrazo ; cancionesromantica
cancionesromantica ; boda
boda ; matrimonio
matrimonio ; anillo
anillo ; alianza
novia ; familia
familia ; mascota
mascota ; eldia14defebrero
eldia14defebrero ; amigo
familia ; mascota
mascota ; amigo
celebrarel14defebrero ; novio
novio ; familia
familia ; regalo
carta ; beso
beso ; novia
novia ; novio
novio ; cancionesromantica
cancionesromantica ; balada
balada ; rosa
rosa ; cita
rosa ; sanvalentin
sanvalentin ; amigo
familia ; amigo
amigo ; mascota
madre ; padre
padre ; hermano
hermano ; hermana
hermana ; familia
familia ; perro
perro ; novio
novio ; amigo
amigo ; suegro
suegro ; suegra
suegra ; animal
madre ; padre
padre ; hermano
hermano ; hermana
hermana ; gato
gato ; perro
perro ; mascota
mascota ; tio
tio ; tia
tia ; primo
primo ; prima
prima ; amigo
familia ; novia
novia ; mascota
mascota ; hijo
hijo ; padre
padre ; dio
decepcion ; sentimiento
sentimiento ; felicidad
felicidad ; carino
carino ; cuerno
ruptura ; novio
novio ; familia
familia ; novia
novia ; amigo
amigo ; animal
animal ; abrazo
rojo ; novio
novio ; novia
novia ; carino
carino ; amistad
amistad ; afecto
afecto ; regalo
regalo ; dinero
dinero ; piel
piel ; beso
beso ; labio
labio ; cuerpo
cuerpo ; corazon
corazon ; corazon
corazon ; carta
carta ; pelicularomantica
pelicularomantica ; habitacion
habitacion ; sentimiento
sentimiento ; rosa
rosa ; flor
flor ; margarita
margarita ; espina
espina ; sanvalentin
sanvalentin ; mensaje
mensaje ; cita
cita ; movil
movil ; llamada
llamada ; viaje
viaje ; sueno
sueno ; pais
beso ; abrazo
abrazo ; cama
cama ; embarazo
embarazo ; sexo
sexo ; hijo
hijo ; hija
hija ; suegro
suegro ; suegra
suegra ; bombon
bombon ; flor
flor ; carta
carta ; amante
familia ; rojo
rojo ; rosa
rosa ; blanco
blanco ; boda
boda ; novio
novio ; pareja
pareja ; beso
beso ; chocolate
chocolate ; diadelosenamorados
diadelosenamorados ; apreton
apreton ; abrazo
abrazo ; anillo
anillo ; esposa
esposa ; cita
cita ; vino
vino ; rosa
marido ; mujer
mujer ; novio
novio ; mejoramigo
mejoramigo ; mejoramiga
mejoramiga ; exnovio
exnovio ; exnovia
exnovia ; familia
familia ; primo
primo ; tio
tio ; tia
tia ; padre
padre ; madre
madre ; abuelo
abuelo ; tatarabuelo
tatarabuelo ; amigo
amigo ; amiga
amiga ; amor
amor ; corazon
corazon ; sentimiento
sentimiento ; felicidad
felicidad ; boda
boda ; matrimonio
cuerno ; felicidad
felicidad ; decepcion
decepcion ; sentimiento
sentimiento ; alegria
alegria ; carino
carino ; ternura
novio ; beso
beso ; cita
cita ; abrazo
abrazo ; arroz
arroz ; hilorojo
hilorojo ; pelicularomantica
pelicularomantica ; librosromantico
librosromantico ; joven
joven ; novia
novia ; escapadasromantica
escapadasromantica ; firstdate
firstdate ; netflix
novia ; novio
novio ; madre
madre ; padre 
padre  ; abuelo
abuelo ; abuela
abuela ; beso
beso ; abrazo
abrazo ; amigo
amigo ; enamorado
enamorado ; juventud
juventud ; carta
carta ; poema
poema ; regalo
regalo ; sanvalentin
sanvalentin ; cita
cita ; cena
beso ; carino
carino ; abrazo
abrazo ; caricia
caricia ; compasion
compasion ; detalle
detalle ; compania
compania ; corazon
corazon ; carta
carta ; emocion
emocion ; traicion
traicion ; celo
celo ; relacion
beso ; abrazo
abrazo ; familia
familia ; pareja
pareja ; amigo
amigo ; detalle
detalle ; tiempodecalidad
tiempodecalidad ; palabrabonitaocarinosa
palabrabonitaocarinosa ; compania
compania ; emocion
chico ; chica
chica ; novio
novio ; novia
novia ; pareja
pareja ; novio
novio ; hijo
hijo ; hija
hija ; beso
beso ; abrazo
abrazo ; cama
cama ; leon
leon ; sexo
sexo ; divorcio
divorcio ; boda
boda ; suegra
suegra ; marido
marido ; mujer
mujer ; nieto
nieto ; corazon
corazon ; carino
carino ; paz
paz ; tranquilidad
familia ; novio
novio ; pareja
pareja ; esposa
esposa ; rojo
rojo ; chocolate
chocolate ; anillo
anillo ; regalo
regalo ; diadelosenamorados
diadelosenamorados ; beso
beso ; brazo
novio ; novia
novia ; casado
casado ; boda
boda ; anillo
anillo ; abrazo
abrazo ; beso
beso ; tacto
tacto ; roce
roce ; marido
marido ; esposa
esposa ; corazon
corazon ; familia
familia ; hermano
hermano ; padre
padre ; hijo
hijo ; abuelo
abuelo ; mascota
mascota ; amigo
amigo ; cita
cita ; firstdate
beso ; romance
romance ; toxico
toxico ; preocupacion
preocupacion ; miedo
miedo ; corazon
corazon ; dulce
dulce ; chocolate
cupido ; flecha
flecha ; corazon
corazon ; chico
chico ; chica
chica ; hombre
hombre ; mujer
mujer ; esposo
esposo ; esposa
esposa ; matrimonio
matrimonio ; divorcio
divorcio ; hijo
hijo ; novio
novio ; novia
novia ; amante
amante ; abrazo
abrazo ; coito
coito ; beso
beso ; caricia
caricia ; sentimiento
sentimiento ; hormona
abrazo ; amiga
amiga ; rojo
rojo ; corazon
